client,Recency,Frequency,Monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,relative_value_pct,event
client1016,380.0,1.0,806.0,10.0,806.0,8.0,10.0,0.0,179.0,0.02073413767724665,False
client10160,262.0,2.0,2479.0,9.0,1239.5,5.0,4.5,0.0,92.0,0.0637716219626482,False
client10161,33.0,35.0,20901.0,145.0,597.1714285714286,81.0,4.142857142857143,21.0,379.0,0.5376727190969383,True
client10162,13.0,4.0,4190.0,32.0,1047.5,20.0,8.0,11.0,78.0,0.10778664623779587,True
client10163,44.0,19.0,41201.0,130.0,2168.4736842105262,62.0,6.842105263157895,29.0,65.0,1.0598848715139446,False
client10164,123.0,1.0,6109.0,25.0,6109.0,6.0,25.0,0.0,898.0,0.15715241571997493,False
client10165,56.0,3.0,15098.0,29.0,5032.666666666667,25.0,9.666666666666666,17.0,38.0,0.38839207276807686,False
client10166,613.0,2.0,10541.0,15.0,5270.5,9.0,7.5,0.0,597.0,0.27116444820825925,False
client10167,397.0,2.0,1217.0,7.0,608.5,6.0,3.5,4.0,145.0,0.03130700440844811,False
client10168,15.0,29.0,35137.0,180.0,1211.6206896551723,81.0,6.206896551724138,30.0,66.0,0.9038900689397216,False
client10169,475.0,1.0,1940.0,29.0,1940.0,23.0,29.0,0.0,9.0,0.04990598895019665,False
client1017,355.0,2.0,15768.0,7.0,7884.0,5.0,3.5,3.0,25.0,0.4056276462714952,False
client10170,697.0,1.0,1095.0,5.0,1095.0,5.0,5.0,0.0,199.0,0.028168586546631617,False
client10171,20.0,10.0,14354.0,46.0,1435.4,33.0,4.6,6.0,3650.0,0.3692528687583107,False
client10172,24.0,10.0,18856.0,43.0,1885.6,35.0,4.3,26.0,117.0,0.48506563280665366,False
client10173,637.0,4.0,5593.0,74.0,1398.25,23.0,18.5,22.0,60.0,0.1438784516486855,False
client10174,59.0,3.0,4514.0,30.0,1504.6666666666667,24.0,10.0,0.0,299.0,0.11612146088721015,False
client10175,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10176,467.0,1.0,1276.0,12.0,1276.0,3.0,12.0,0.0,399.0,0.03282476386621182,False
client10177,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
client10178,189.0,2.0,3627.0,3.0,1813.5,1.0,1.5,1.0,1299.0,0.09330361954760993,False
client10179,21.0,2.0,1796.0,4.0,898.0,4.0,2.0,4.0,129.0,0.04620162688379031,True
client1018,394.0,1.0,2488.0,4.0,2488.0,2.0,4.0,0.0,490.0,0.0640031445917986,False
client10180,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
client10181,208.0,1.0,1399.0,1.0,1399.0,1.0,1.0,0.0,1399.0,0.035988906464600574,False
client10182,12.0,16.0,13259.0,60.0,828.6875,34.0,3.75,12.0,699.0,0.3410842822116791,True
client10183,209.0,1.0,1223.0,30.0,1223.0,28.0,30.0,0.0,4.0,0.031461352827881706,False
client10184,19.0,1.0,886.0,4.0,886.0,2.0,4.0,0.0,717.0,0.022792116603027955,False
client10185,344.0,1.0,319.0,1.0,319.0,1.0,1.0,1.0,319.0,0.008206190966552954,False
client10186,1.0,2.0,6933.0,19.0,3466.5,7.0,9.5,5.0,619.0,0.17834959865552238,True
client10187,175.0,5.0,25453.0,105.0,5090.6,13.0,21.0,7.0,61.0,0.6547717199738946,False
client10188,1.0,8.0,25890.0,104.0,3236.25,40.0,13.0,27.0,1198.0,0.6660134298559749,False
client10189,637.0,6.0,23851.0,73.0,3975.1666666666665,28.0,12.166666666666666,4.0,98.0,0.6135606919851239,False
client1019,12.0,3.0,17086.0,60.0,5695.333333333333,11.0,20.0,8.0,399.0,0.43953284907374224,True
client10190,20.0,10.0,5926.0,49.0,592.6,18.0,4.9,8.0,458.0,0.1524447889272502,True
client10191,453.0,1.0,2268.0,18.0,2268.0,8.0,18.0,0.0,100.0,0.0583437025459,False
client10192,109.0,4.0,5802.0,62.0,1450.5,48.0,15.5,0.0,15.0,0.14925492159228917,False
client10193,88.0,3.0,12696.0,4.0,4232.0,3.0,1.3333333333333333,0.0,1299.0,0.3266012555214931,False
client10194,92.0,2.0,3097.0,3.0,1548.5,3.0,1.5,2.0,182.0,0.07966950916430877,False
client10195,3.0,13.0,5676.0,95.0,436.61538461538464,69.0,7.3076923076923075,14.0,23.0,0.1460136047841836,True
client10196,68.0,17.0,12203.0,48.0,717.8235294117648,35.0,2.823529411764706,8.0,538.0,0.31391896039136585,True
client10197,226.0,17.0,35482.0,134.0,2087.176470588235,22.0,7.882352941176471,11.0,771.0,0.9127651030571534,False
client10198,70.0,1.0,7998.0,21.0,7998.0,5.0,21.0,5.0,6993.0,0.205746443104986,False
client10199,3.0,26.0,16596.0,122.0,638.3076923076923,41.0,4.6923076923076925,11.0,237.0,0.42692772815333174,True
client102,665.0,1.0,2354.0,2.0,2354.0,2.0,2.0,2.0,492.0,0.06055602989111491,False
client1020,493.0,1.0,10920.0,20.0,10920.0,2.0,20.0,0.0,7125.0,0.28091412336914817,False
